symbol,y,x1,x2,x3,x4,underwriter,exchange
MRNS,1.020,1.000,45000,0.408,0.034,26-33,1
MTBC,1.000,1.000,20400,0.371,0.058,69-70-104,1
MTGE,1.015,0.950,152000,0.800,0.137,18-21-32-37,1
MTLS,1.000,1.000,96000,1.000,0.204,1-4,1
MTSI,1.099,1.005,114600,0.133,0.127,3-17-19,1
NCLH,1.016,1.321,590588,0.117,0.161,17-32,2
NCOM,1.067,1.079,35785,0.185,0.045,35,1
NDLS,1.178,1.778,171428,0.240,0.259,7-8-32,1
NDRM,1.000,0.945,42525,0.265,0.065,3-41,1
NEOS,1.015,1.215,87456,0.331,0.103,10-31-32,1
NERV,1.063,1.000,32727,0.298,0.077,3,1
NK,1.100,1.480,306656,0.105,0.135,3-4-8-18,1
NLNK,1.116,1.000,43400,0.301,0.024,11-26,1
NMIH,1.032,1.204,701349,0.900,0.002,,1
NRX,1.073,1.010,37572,0.350,0.019,69,1
NSTG,1.022,0.881,47574,0.370,0.000,7-19,1
NTEC,1.002,1.000,30150,0.497,0.005,13-14,1
NTRA,1.056,1.228,221000,0.206,0.189,4-7-41,1
NVET,1.039,0.912,36480,0.361,0.029,8-41,1
NVLS,1.057,1.179,90750,0.376,0.069,26-41,1
NXPI,1.069,0.929,442000,0.136,0.044,1-2-7,1
OCUL,1.005,1.000,65000,0.243,0.071,7-10-41,1
OLLI,1.014,1.417,202419,0.156,0.296,3-8-19,1
OMED,1.103,1.653,134880,0.177,0.082,3-56,1
ONCE,1.018,1.961,315700,0.298,0.177,1-19,1
ONTX,1.000,1.667,129166,0.251,0.043,18-56,1
OPGN,1.025,0.883,15105,0.266,0.013,13,1
OPHT,1.105,1.048,175256,0.252,0.121,7-19,1
ORPN,1.009,0.991,34880,0.225,0.085,12-14-69,1
OSN,1.056,1.000,22500,0.250,0.043,197-278,1
OTIC,1.007,1.133,113312,0.307,0.151,8-19,1
OXFD,1.114,1.167,75040,0.326,0.060,4-19,1
PACB,1.021,1.031,206250,0.249,0.062,7-19,1
PAHC,1.000,1.100,210298,0.731,0.091,7-8-17-54,1
PARN,1.025,0.925,46250,0.376,0.088,3-4,1
PBPB,1.144,2.047,214950,0.268,0.226,2-8,1
PCRX,1.036,1.000,42000,0.348,0.036,4-17,1
PCTY,1.000,1.824,218395,0.144,0.162,6-8-21,1
PEGI,1.008,1.095,385600,0.450,0.101,7-31-227,1
PETX,1.114,1.167,40250,0.290,0.003,26-80,1
PFMT,1.078,1.028,83250,0.199,0.098,2-7,1
PFPT,1.015,1.296,106650,0.213,0.098,1-21-42,1
PIH,1.062,1.000,15100,0.578,0.036,69,1
PINC,1.000,1.148,872710,1.000,0.113,8-19-37,1
PLAY,1.059,1.062,100000,0.150,0.160,3-4,1
PRAH,1.050,1.031,314918,0.296,0.077,3-18-32-116,1
PRMW,1.000,1.250,124999,0.438,0.083,26,1
PRQR,1.099,1.531,149250,0.338,0.070,21-56,1
PRSS,1.055,1.132,96750,0.265,0.169,3-19,1
PRTO,1.062,1.130,69043,0.407,0.006,26-33,1
PTCT,1.044,1.053,132277,0.354,0.081,1-19,1
PTLA,1.009,1.052,128447,0.249,0.070,1-7,1
PTXP,1.003,1.047,235687,0.562,0.102,10-17-18-87,1
PUB,1.044,1.087,39400,0.146,0.038,83,1
QIWI,1.019,1.000,212500,1.000,0.100,1-19,1
QLIK,1.083,1.200,134400,0.149,0.128,7-18-19,1
QLYS,1.042,1.000,90900,0.252,0.173,1-19,1
QUNR,1.234,1.890,314996,1.000,0.113,21-135,1
QURE,1.044,1.000,91800,0.307,0.135,3-56,1
RARE,1.048,2.181,263824,0.198,0.108,7-19,1
RCPT,1.011,1.071,78000,0.295,0.030,1-31-56,1
RDUS,1.051,1.004,52194,0.225,0.022,3-41,1
REGI,1.019,1.010,72720,1.000,0.062,4-32,1
REPH,1.049,1.066,31987,0.525,0.026,69,1
RESN,1.154,1.667,27000,0.416,0.003,134,1
RGLS,1.159,1.183,53212,0.330,0.002,31-41-80,1
RKDA,1.028,0.936,61418,0.190,0.029,1-4-19,1
RLYP,1.007,1.145,86241,0.239,0.048,7-8,1
RNET,1.000,1.000,60000,0.344,0.019,3-21,1
ROKA,1.004,1.000,60000,0.284,0.080,8-56,1
RP,1.021,1.182,159900,0.197,0.045,1-21,1
RPD,1.026,1.672,172537,0.171,0.280,7-17,1
RPXC,1.029,1.263,202330,0.183,0.172,2-17,1
RTRX,1.119,1.235,49411,0.204,0.005,3,1
RTTR,1.100,1.000,20000,0.514,0.046,69-70,1
RVNC,1.119,1.312,126000,0.338,0.101,4-41,1
RWLK,1.107,1.000,36000,0.264,0.275,3-17,1
SABR,1.023,1.049,658168,0.152,0.082,2-7-8-21,1
SAGE,1.111,1.500,135000,0.200,0.171,2-19,1
SALE,1.030,1.262,240909,0.206,0.104,1-2-7,1
SAMG,1.132,1.036,54613,1.000,0.003,34-38,1
SAVE,1.013,0.946,177060,0.217,0.069,7-18,2
SCAI,1.014,1.167,273777,0.256,0.145,18-19,1
SCTY,1.145,1.156,106375,0.157,0.042,1-2-8,1
SCYX,1.009,0.975,60450,0.733,0.034,10-11,1
SEDG,1.022,1.111,140000,0.184,0.171,2-21,1
SEMI,1.017,1.154,108000,0.306,0.074,2-21-37,1
SFBS,1.021,1.000,56875,0.076,0.038,34,1
SFM,1.114,1.944,647500,0.129,0.190,1-2,1
SFXE,1.030,1.000,260000,0.239,0.137,3-17-21-32,1
SGNL,1.080,0.925,7862,0.225,0.057,69,1
SGNT,1.036,1.141,104937,0.214,0.126,3-7-8,1
SIEN,1.020,1.175,88100,0.353,0.090,4-26,1
SKIS,1.021,1.000,90000,0.715,0.173,26-39-120,1
SKUL,1.017,1.150,217158,0.353,0.165,7-8,1
SKYS,1.030,1.032,45636,1.000,0.005,14-41-120,1
SMMT,1.035,1.012,34569,1.000,0.009,12-33,1
SMT,1.543,1.029,679525,0.876,0.062,7-21-227,1
SNC,1.000,1.002,368742,0.694,0.000,,1
SODA,1.030,1.238,134822,0.296,0.258,19-21,1
SPHS,1.010,0.980,63700,0.805,0.075,18-56,1
SPKE,1.021,1.000,54000,1.000,0.149,26-39,1
SPLK,1.000,1.882,432000,0.146,0.179,1-7-8-19,1
SPRO,1.029,0.946,72875,0.411,0.051,8-26-41,1
SPWH,1.009,1.000,118750,0.303,0.081,1-2,1
SQBK,1.021,1.111,115622,0.213,0.112,34-35,1
SQI,1.098,1.211,69000,0.295,0.075,26,1
SREV,1.026,1.365,162982,0.182,0.128,7-21,1
STCK,1.050,1.054,103320,0.269,0.110,2,1
STDY,1.010,0.948,37882,0.384,0.080,10-37,1
STML,1.091,1.100,36494,0.477,0.019,10-12-33-69,1
SUPN,1.078,1.300,65000,0.418,0.014,4-18,1
SYNC,1.108,1.150,39204,0.267,0.051,8-18-26,1
SYRX,1.000,1.000,19999,0.189,0.016,192-214,1
SZYM,1.063,1.111,219500,0.190,0.105,2-7,1
TANH,1.247,1.500,19200,0.148,0.001,60-114,1
TBK,1.002,1.015,81606,0.404,0.054,34-37-48,1
TCON,1.002,0.975,35100,0.298,0.000,26-37,1
TERP,1.019,1.330,667361,0.726,0.229,2-17-18,1
TFM,1.000,1.591,461125,0.275,0.254,2-8-19,1
TGEN,1.000,1.255,3860,0.041,0.001,200,1
THST,1.008,0.990,16038,1.000,0.006,91-94-147-240,1
TKAI,1.344,1.242,120722,0.297,0.052,6-26-31,1
TLMR,1.073,1.058,213888,0.222,0.107,19-35,1
TNDM,1.036,1.300,156000,0.374,0.119,4-8,1
TOUR,1.136,1.000,72000,1.000,0.066,1-7-44,1
TRIV,1.071,0.946,73775,0.336,0.054,1-19,1
TRNX,1.579,1.000,166250,0.228,0.098,8-19,1
TRUE,1.066,1.078,75417,0.109,0.096,2-10-19,1
TRVN,1.020,1.016,65767,0.359,0.049,3-17,1
TSC,1.018,1.087,71250,0.205,0.047,35-39-55,1
TSRO,1.000,1.037,84000,0.225,0.000,7-18-56,1
TTOO,1.003,1.450,82940,0.271,0.107,2-7,1
TTPH,1.042,1.029,77142,0.539,0.016,17-31,1
