date,symbol,ipo_price,open_price,pm,minutes,pem,shares,outstanding,leading_underwriter,exchange,sector,industry
20140508,LPG,19.00,19.00,19.15,0,19.15,7105263,56882973,jp morgan,NYSE,N/A,Transportation
20111215,LPI,17.00,17.25,17.80,4,17.80,17500000,125000000,jp morgan,NYSE,Basic Materials,Energy
20140409,LQ,17.00,16.75,16.83,1,16.83,38250000,123658318,morgan stanley,NYSE,Services,Consumer Services
20111111,LRE,19.00,19.00,19.20,0,19.20,9408000,15657600,wells fargo,NYSE,Basic Materials,Independent Oil & Gas
20121003,LXFR,10.00,11.00,11.69,9,11.69,8000000,8000000,credit suisse,NYSE,Industrial Goods,Basic Industries
20130626,LXFT,17.00,20.80,20.95,3,20.95,4092070,5166710,credit suisse,NYSE,Technology,Technology
20120810,MANU,14.00,14.05,14.20,0,14.20,16666667,39685700,credit suisse,NYSE,Services,Consumer Services
20140801,MBLY,25.00,36.00,38.76,4,38.76,35589000,212301196,goldman sachs,NYSE,Technology,Application Software
20140416,MC,25.00,27.00,27.22,1,27.22,6500000,14288653,goldman sachs,NYSE,Financial,Finance
20150625,MCRN,20.00,19.50,19.68,0,19.68,14285714,66586389,bofa merrill lynch,NYSE,Industrial Goods,Technology
20140924,MDLY,18.00,16.99,17.44,1,17.44,6000000,6000000,credit suisse,NYSE,N/A,Finance
20131107,MEP,18.00,17.00,17.28,1,17.43,18500000,22610056,bofa merrill lynch,NYSE,Basic Materials,Independent Oil & Gas
20110630,MITT,20.00,19.50,19.60,9,19.60,5500000,9251250,rbc,NYSE,Financial,Energy
20130809,MIXT,16.00,20.00,20.25,0,20.25,6296098,6296098,william blair,NYSE,Technology,Technology
20120329,MM,13.00,25.00,27.90,3,27.90,10200000,74890038,goldman sachs,NYSE,Services,Marketing Services
20131031,MMI,12.00,13.40,13.75,9,14.24,6000000,35700897,goldman sachs,NYSE,Financial,Finance
20111118,MN,12.00,12.00,12.23,0,12.23,12500000,12500000,bofa merrill lynch,NYSE,Financial,Finance
20130320,MODN,15.50,20.30,21.17,6,21.88,6740000,21437554,jp morgan,NYSE,Technology,Technology
20141212,MPG,15.00,15.25,15.49,1,15.49,10000000,67073255,goldman sachs,NYSE,Financial,REIT - Office
20121026,MPLX,22.00,25.50,26.25,9,26.25,17300000,36951515,morgan stanley,NYSE,Basic Materials,Energy
20120420,MPO,13.00,13.25,13.84,2,13.85,24000000,65634353,goldman sachs,NYSE,Basic Materials,Energy
20120412,MRC,21.00,20.50,20.87,10,20.94,22727273,101487198,goldman sachs,NYSE,Basic Materials,Capital Goods
20130322,MRIN,14.00,19.00,19.95,2,19.95,7500000,30911322,goldman sachs,NYSE,Technology,Technology
20120202,MTDR,12.00,11.75,11.75,0,11.75,13333334,54719860,rbc,NYSE,Basic Materials,Energy
20110311,MX,14.00,14.00,14.50,7,14.62,9500000,39351985,goldman sachs,NYSE,Technology,Technology
20150306,MXPT,11.50,11.00,11.24,0,11.24,6500000,25566243,goldman sachs,NYSE,Technology,Application Software
20130920,MYCC,14.00,15.25,15.44,0,15.44,18000000,63769730,goldman sachs,NYSE,Services,Sporting Activities
20140129,NADL,9.25,8.50,8.80,8,8.94,13513514,241142651,goldman sachs,NYSE,N/A,N/A
20140612,NAO,16.00,14.00,14.99,10,15.13,5882352,22549018,credit suisse,NYSE,Services,Transportation
20141113,NAP,15.00,13.20,13.50,9,13.50,8100000,9342692,credit suisse,NYSE,Services,Energy
20120920,NBHC,19.25,20.25,20.25,0,20.25,7150000,46232050,goldman sachs,NYSE,Financial,Finance
20111103,NDRO,22.00,21.75,21.85,0,21.85,13200000,33000000,goldman sachs,NYSE,Basic Materials,Energy
20141121,NEFF,15.00,14.75,15.78,6,15.78,10476190,10476190,jefferies,NYSE,Services,Rental & Leasing Services
20140627,NEP,25.00,32.55,33.20,1,33.20,16250000,16250000,goldman sachs,NYSE,Utilities,Public Utilities
20141212,NEWR,23.00,30.16,32.65,7,32.83,5000000,46045775,morgan stanley,NYSE,N/A,Technology
20110512,NGL,21.00,21.00,21.25,0,21.25,3500000,8514222,rbc,NYSE,Basic Materials,Energy
20120725,NGVC,15.00,18.00,18.77,4,18.77,7142857,21803031,piper jaffray,NYSE,Services,Consumer Services
20110126,NLSN,23.00,24.75,24.98,10,25.10,71428572,347629277,morgan stanley,NYSE,Technology,Miscellaneous
20131213,NMBL,21.00,31.10,31.50,0,31.50,8000000,70280400,goldman sachs,NYSE,Technology,Data Storage Devices
20101110,NOAH,12.00,15.00,15.44,0,15.44,8400000,27350000,bofa merrill lynch,NYSE,Financial,Finance
