symbol,date,underwriter
KNOP,20130410,bofa merrill lynch
KNOP,20130410,barclays
KNOP,20130410,citigroup
KORS,20111215,goldman sachs
KORS,20111215,morgan stanley
KORS,20111215,jp morgan
KOS,20110511,credit suisse
KOS,20110511,barclays
KOS,20110511,citigroup
LADR,20140206,bofa merrill lynch
LADR,20140206,citigroup
LADR,20140206,jp morgan
LADR,20140206,deutsche bank
LADR,20140206,wells fargo
LC,20141211,goldman sachs
LC,20141211,morgan stanley
LEAF,20131016,credit suisse
LEAF,20131016,bofa merrill lynch
LEAF,20131016,barclays
LEAF,20131016,citigroup
LEAF,20131016,allen
LEJU,20140417,credit suisse
LEJU,20140417,jp morgan
LEJU,20140417,macquarie
LITB,20130606,credit suisse
LITB,20130606,stifel nicolaus
LNKD,20110519,morgan stanley
LNKD,20110519,bofa merrill lynch
LNKD,20110519,jp morgan
LOCK,20121003,goldman sachs
LOCK,20121003,bofa merrill lynch
LOCK,20121003,deutsche bank
LPG,20140508,jp morgan
LPG,20140508,ubs
LPI,20111215,jp morgan
LQ,20140409,morgan stanley
LQ,20140409,jp morgan
LRE,20111111,wells fargo
LXFR,20121003,credit suisse
LXFR,20121003,jefferies
LXFT,20130626,credit suisse
LXFT,20130626,jp morgan
LXFT,20130626,ubs
MANU,20120810,credit suisse
MANU,20120810,jefferies
MANU,20120810,jp morgan
MBLY,20140801,goldman sachs
MBLY,20140801,morgan stanley
MC,20140416,goldman sachs
MC,20140416,morgan stanley
MCRN,20150625,bofa merrill lynch
MCRN,20150625,barclays
MCRN,20150625,jp morgan
MDLY,20140924,credit suisse
MDLY,20140924,goldman sachs
MEP,20131107,bofa merrill lynch
MEP,20131107,barclays
MEP,20131107,citigroup
MITT,20110630,rbc
MITT,20110630,deutsche bank
MITT,20110630,stifel nicolaus
MIXT,20130809,william blair
MIXT,20130809,raymond james
MM,20120329,goldman sachs
MM,20120329,morgan stanley
MM,20120329,barclays
MMI,20131031,goldman sachs
MMI,20131031,citigroup
MN,20111118,bofa merrill lynch
MODN,20130320,jp morgan
MODN,20130320,deutsche bank
MPG,20141212,goldman sachs
MPG,20141212,bofa merrill lynch
MPG,20141212,deutsche bank
MPLX,20121026,morgan stanley
MPLX,20121026,bofa merrill lynch
MPLX,20121026,ubs
MPO,20120420,goldman sachs
MPO,20120420,morgan stanley
MPO,20120420,wells fargo
MRC,20120412,goldman sachs
MRC,20120412,barclays
MRIN,20130322,goldman sachs
MRIN,20130322,deutsche bank
MTDR,20120202,rbc
MTDR,20120202,citigroup
MUSA,20100409,goldman sachs
MX,20110311,goldman sachs
MX,20110311,barclays
MX,20110311,deutsche bank
MXL,20100324,morgan stanley
MXL,20100324,deutsche bank
MXPT,20150306,goldman sachs
MXPT,20150306,deutsche bank
MXPT,20150306,pacific crest
MYCC,20130920,goldman sachs
MYCC,20130920,jefferies
MYCC,20130920,citigroup
NADL,20140129,goldman sachs
NADL,20140129,morgan stanley
NADL,20140129,barclays
NAO,20140612,credit suisse
NAO,20140612,morgan stanley
NAO,20140612,jp morgan
NAO,20140612,dnb
NAO,20140612,pareto
NAP,20141113,credit suisse
NAP,20141113,bofa merrill lynch
NAP,20141113,citigroup
NAP,20141113,jp morgan
NBHC,20120920,goldman sachs
NBHC,20120920,keefe bruyette and woods
NDRO,20111103,goldman sachs
NDRO,20111103,rbc
NDRO,20111103,barclays
NDRO,20111103,citigroup
NDRO,20111103,wells fargo
NEFF,20141121,jefferies
NEFF,20141121,piper jaffray
NEFF,20141121,morgan stanley
NEP,20140627,goldman sachs
NEP,20140627,morgan stanley
NEP,20140627,bofa merrill lynch
NEWR,20141212,morgan stanley
NEWR,20141212,jp morgan
NGL,20110512,rbc
NGL,20110512,wells fargo
NGVC,20120725,piper jaffray
NGVC,20120725,suntrust robinson humphrey
NKA,20100512,goldman sachs
NKA,20100512,morgan stanley
NLSN,20110126,morgan stanley
NLSN,20110126,jp morgan
NMBL,20131213,goldman sachs
NMBL,20131213,morgan stanley
NOAH,20101110,bofa merrill lynch
NOAH,20101110,jp morgan
NOR,20100514,bofa merrill lynch
NORD,20140326,credit suisse
NORD,20140326,goldman sachs
NORD,20140326,jp morgan
NOW,20120629,morgan stanley
NOW,20120629,citigroup
NOW,20120629,deutsche bank
NPTN,20110202,bofa merrill lynch
NPTN,20110202,deutsche bank
NSA,20150423,jefferies
NSA,20150423,morgan stanley
NSA,20150423,wells fargo
NSLP,20130208,stifel nicolaus
NSLP,20130208,robert w baird
NSM,20120308,credit suisse
NSM,20120308,bofa merrill lynch
NSM,20120308,citigroup
NSM,20120308,wells fargo
NTI,20120726,goldman sachs
NTI,20120726,bofa merrill lynch
NTI,20120726,barclays
NVGS,20131121,jefferies
NVGS,20131121,morgan stanley
NVRO,20141106,morgan stanley
NVRO,20141106,jp morgan
NVTA,20150212,jp morgan
NWHM,20140131,credit suisse
NWHM,20140131,citigroup
NWHM,20140131,jp morgan
NYLD,20130717,goldman sachs
NYLD,20130717,bofa merrill lynch
NYLD,20130717,citigroup
OAK,20120412,goldman sachs
OAK,20120412,morgan stanley
OAKS,20130322,credit suisse
OAKS,20130322,barclays
OAKS,20130322,ubs
OAKS,20130322,keefe bruyette and woods
OAS,20100617,morgan stanley
OAS,20100617,ubs
OCIP,20131004,bofa merrill lynch
OCIP,20131004,barclays
OCIP,20131004,citigroup
OCIR,20130913,goldman sachs
OCIR,20130913,citigroup
OEC,20140725,goldman sachs
OEC,20140725,morgan stanley
OMAM,20141009,credit suisse
OMAM,20141009,morgan stanley
OMAM,20141009,bofa merrill lynch
OMAM,20141009,citigroup
ONDK,20141217,jefferies
ONDK,20141217,morgan stanley
ONDK,20141217,bofa merrill lynch
ONDK,20141217,jp morgan
ONDK,20141217,deutsche bank
ONE,20100617,goldman sachs
OOMA,20150717,credit suisse
OOMA,20150717,bofa merrill lynch
OPWR,20140404,goldman sachs
OPWR,20140404,morgan stanley
ORC,20130214,oppenheimer
ORC,20130214,ladenburg thalmann
P,20110615,morgan stanley
P,20110615,citigroup
P,20110615,jp morgan
PACD,20111111,morgan stanley
PACD,20111111,deutsche bank
PAGP,20131016,goldman sachs
PAGP,20131016,barclays
PAGP,20131016,jp morgan
PANW,20120720,goldman sachs
PANW,20120720,morgan stanley
PANW,20120720,citigroup
PAYC,20140415,barclays
PAYC,20140415,jp morgan
PBF,20121213,morgan stanley
PBF,20121213,citigroup
PBFX,20140509,barclays
PBFX,20140509,ubs
PDM,20100210,morgan stanley
PDM,20100210,jp morgan
PE,20140523,credit suisse
PE,20140523,goldman sachs
PF,20130328,bofa merrill lynch
PF,20130328,barclays
PFSI,20130509,credit suisse
PFSI,20130509,goldman sachs
PFSI,20130509,bofa merrill lynch
PFSI,20130509,citigroup
PGEM,20130523,credit suisse
PGEM,20130523,goldman sachs
PGEM,20130523,jp morgan
PGND,20150521,goldman sachs
PGND,20150521,william blair
PGND,20150521,barclays
PGRE,20141119,morgan stanley
PGRE,20141119,bofa merrill lynch
PGRE,20141119,wells fargo
PLOW,20100505,credit suisse
PLOW,20100505,oppenheimer
PN,20150116,suntrust robinson humphrey
PN,20150116,bmo
PN,20150116,ubs
PRI,20100401,citigroup
PRLB,20120224,jefferies
PRLB,20120224,piper jaffray
PRTY,20150416,goldman sachs
PRTY,20150416,bofa merrill lynch
PSXP,20130723,morgan stanley
PSXP,20130723,jp morgan
Q,20130509,morgan stanley
Q,20130509,barclays
Q,20130509,jp morgan
QEPM,20130809,morgan stanley
QEPM,20130809,wells fargo
QIHU,20110330,citigroup
QIHU,20110330,ubs
QTS,20131009,goldman sachs
QTS,20131009,jefferies
QTWO,20140320,jp morgan
